instance_id,db_id,gold_sql_present,gold_sql_chars,gold_table_refs_n,gold_datasets,pred_table_refs_n,table_overlap_status,gold_in_ir_n,ir_tables_total_n,has_gold_result,execution_match,executable,parses,bucket
bq011,ga4,True,1107,2,bigquery-public-data.ga4_obfuscated_sample_ecommerce|event_params.value,2,no_overlap,0,92,True,False,True,True,exec_ok_but_rows_mismatch
bq010,ga360,True,930,1,bigquery-public-data.google_analytics_sample,1,no_overlap,0,366,True,False,False,True,syntax_error
bq009,ga360,True,1044,1,bigquery-public-data.google_analytics_sample,1,no_overlap,0,366,True,False,False,True,syntax_error
bq001,ga360,True,1758,2,bigquery-public-data.google_analytics_sample|hits.transaction,1,partial,0,366,True,False,False,True,function_signature
bq002,ga360,True,2137,1,bigquery-public-data.google_analytics_sample,1,gold_subset_of_pred,0,366,True,False,False,True,function_signature
bq003,ga360,True,1268,1,bigquery-public-data.google_analytics_sample,1,no_overlap,0,366,True,False,False,True,syntax_error
bq004,ga360,True,958,1,bigquery-public-data.google_analytics_sample,1,no_overlap,0,366,True,False,False,True,syntax_error
bq008,ga360,True,2505,2,bigquery-public-data.google_analytics_sample|hits.page,1,no_overlap,0,366,True,False,False,True,other_bad_request
bq269,ga360,True,962,1,bigquery-public-data.google_analytics_sample,1,no_overlap,0,366,True,False,False,True,unrecognized_column
bq268,ga360,True,2053,2,bigquery-public-data.google_analytics_sample|hits.transaction,1,partial,0,366,True,False,False,True,function_signature
bq270,ga360,True,1672,2,bigquery-public-data.google_analytics_sample|hits.eCommerceAction,4,no_overlap,0,366,True,False,False,True,function_signature
bq275,ga360,True,1310,2,bigquery-public-data.google_analytics_sample|hits.transaction,1,no_overlap,0,366,True,False,True,True,exec_ok_but_rows_mismatch
bq374,ga360,True,1702,3,bigquery-public-data.google_analytics_sample|s.totals,2,partial,0,366,True,False,False,True,other_bad_request
bq019,cms_data,False,0,0,,1,no_gold,0,52,True,False,False,True,aggregation_error
bq234,cms_data,True,825,1,bigquery-public-data.cms_medicare,1,no_overlap,1,52,True,False,False,True,table_or_dataset_not_found
bq235,cms_data,True,1254,2,bigquery-public-data.cms_medicare,3,gold_subset_of_pred,2,52,True,False,False,True,function_signature
bq172,cms_data,True,731,1,bigquery-public-data.cms_medicare,1,no_overlap,1,52,True,False,False,True,other_bad_request
bq177,cms_data,False,0,0,,2,no_gold,0,52,True,False,False,True,other_bad_request
bq354,cms_data,True,2282,5,bigquery-public-data.cms_synthetic_patient_data_omop,2,no_overlap,5,52,True,False,False,True,table_or_dataset_not_found
bq355,cms_data,True,988,4,bigquery-public-data.cms_synthetic_patient_data_omop,0,no_overlap,4,52,True,False,False,True,table_or_dataset_not_found
bq032,noaa_data,True,1125,1,bigquery-public-data.noaa_hurricanes,1,no_overlap,1,218,True,False,False,True,unrecognized_column
bq119,noaa_data,True,1065,1,bigquery-public-data.noaa_hurricanes,1,no_overlap,1,218,True,False,True,True,exec_ok_but_rows_mismatch
bq419,noaa_data,True,3920,16,bigquery-public-data.noaa_historic_severe_storms,1,no_overlap,16,218,True,False,False,True,bytes_billed_exceeded
bq356,noaa_data,False,0,0,,1,no_gold,0,218,True,False,True,True,exec_ok_but_rows_mismatch
bq042,noaa_data,True,623,1,bigquery-public-data.noaa_gsod,8,no_overlap,0,218,True,False,False,True,function_signature
bq394,noaa_data,True,1449,1,bigquery-public-data.noaa_icoads,6,no_overlap,0,218,True,False,False,True,other_bad_request
bq357,noaa_data,True,483,1,bigquery-public-data.noaa_icoads,1,no_overlap,0,218,True,False,False,True,permission_denied
bq181,noaa_data,False,0,0,,1,no_gold,0,218,True,False,True,True,exec_ok_but_rows_mismatch
bq045,noaa_data,True,2017,3,bigquery-public-data.noaa_gsod,2,partial,3,218,True,False,False,True,other_bad_request
bq290,noaa_data,True,1438,2,bigquery-public-data.noaa_gsod,5,no_overlap,2,218,True,False,False,False,syntax_error
bq031,noaa_data,True,6845,2,bigquery-public-data.noaa_gsod,1,no_overlap,1,218,True,False,False,False,syntax_error
bq392,noaa_gsod,True,1028,1,bigquery-public-data.noaa_gsod,1,gold_subset_of_pred,1,97,True,False,True,True,exec_ok_but_rows_mismatch
bq208,new_york_noaa,False,0,0,,1,no_gold,0,119,True,False,False,True,table_or_dataset_not_found
bq047,new_york_noaa,False,0,0,,14,no_gold,0,119,True,False,False,False,syntax_error
bq048,new_york_noaa,False,0,0,,1,no_gold,0,119,True,False,False,True,table_or_dataset_not_found
bq293,new_york_geo,False,0,0,,2,no_gold,0,38,True,False,False,False,syntax_error
bq034,ghcn_d,True,709,1,bigquery-public-data.ghcn_d,1,no_overlap,1,266,True,False,False,True,table_or_dataset_not_found
bq383,ghcn_d,True,2089,4,bigquery-public-data.ghcn_d,8,no_overlap,4,266,True,False,False,True,other_bad_request
bq051,new_york_ghcn,False,0,0,,10,no_gold,0,288,False,,False,True,permission_denied
bq038,new_york,False,0,0,,2,no_gold,0,22,True,False,False,True,function_signature
bq053,new_york,True,957,3,bigquery-public-data.new_york,0,no_overlap,3,22,True,False,False,True,other_bad_request
bq054,new_york,False,0,0,,1,no_gold,0,22,True,False,False,True,aggregation_error
bq021,new_york,True,1376,2,bigquery-public-data.new_york,2,partial,2,22,True,False,False,True,other:InternalServerError
bq202,new_york_plus,False,0,0,,1,no_gold,0,43,True,False,True,True,exec_ok_but_rows_mismatch
bq185,new_york_plus,True,789,2,bigquery-public-data.new_york_taxi_trips,2,gold_subset_of_pred,2,43,True,False,False,True,function_signature
bq040,new_york_plus,False,0,0,,1,no_gold,0,43,True,False,False,True,unrecognized_column
bq098,new_york_plus,True,2604,2,bigquery-public-data.new_york_taxi_trips,2,gold_subset_of_pred,2,43,True,False,False,True,other:InternalServerError
bq039,new_york_plus,True,1193,2,bigquery-public-data.new_york_taxi_trips,2,partial,2,43,True,False,False,True,other_bad_request
bq203,new_york_plus,True,700,2,bigquery-public-data.new_york_subway,1,partial,2,43,True,False,True,True,exec_ok_but_rows_mismatch
bq035,san_francisco,True,973,2,bigquery-public-data.san_francisco,2,gold_subset_of_pred,2,8,True,False,True,True,exec_ok_but_rows_mismatch
bq186,san_francisco,False,0,0,,1,no_gold,0,8,True,False,True,True,exec_ok_but_rows_mismatch
bq081,san_francisco_plus,True,1616,3,bigquery-public-data.san_francisco_bikeshare,3,gold_subset_of_pred,3,19,True,False,False,True,function_signature
bq339,san_francisco_plus,True,977,1,bigquery-public-data.san_francisco_bikeshare,1,gold_subset_of_pred,1,19,True,False,True,True,exec_ok_but_rows_mismatch
