benchmark,idx,class,difficulty,difficulty_score,planner_used,plan_valid,compiler_status,selected_candidate_source,fallback_used,fallback_reason,lm_calls
spider_dev,0,neutral,hard,0.5,True,True,ok,planner_compiled,False,,2
spider_dev,1,neutral,hard,0.5,True,True,ok,planner_compiled,False,,2
spider_dev,2,neutral,hard,0.65,True,True,ok,planner_compiled,False,,2
spider_dev,3,neutral,hard,0.85,True,True,ok,planner_compiled,False,,2
spider_dev,4,neutral,hard,0.85,True,True,ok,planner_compiled,False,,2
spider_dev,5,neutral,hard,0.85,True,True,ok,planner_compiled,False,,2
spider_dev,6,neutral,hard,0.7,True,True,ok,planner_compiled,False,,2
spider_dev,7,neutral,hard,0.7,True,True,ok,planner_compiled,False,,2
spider_dev,8,neutral,hard,0.65,True,False,skipped,b0_anchor_plan_invalid,True,"plan_invalid:jsonschema:'distinct' is not one of ['scalar', 'table', 'grouped']",2
spider_dev,9,neutral,hard,0.65,True,False,skipped,b0_anchor_plan_invalid,True,"plan_invalid:jsonschema:'distinct' is not one of ['scalar', 'table', 'grouped']",2
spider_dev,10,neutral,hard,0.85,True,True,ok,planner_compiled,False,,2
spider_dev,11,neutral,hard,0.5,True,True,ok,planner_compiled,False,,2
spider_dev,12,neutral,hard,0.65,True,False,skipped,b0_anchor_plan_invalid,True,"plan_invalid:jsonschema:'expression' is not one of [None, 'int', 'float', 'string', 'date', 'column', 'list_int', 'list_string', 'tuple']",2
spider_dev,13,neutral,hard,0.65,True,False,skipped,b0_anchor_plan_invalid,True,"plan_invalid:jsonschema:'avg' is not one of [None, 'int', 'float', 'string', 'date', 'column', 'list_int', 'list_string', 'tuple']",2
spider_dev,14,neutral,hard,0.7,True,True,ok,planner_compiled,False,,2
spider_dev,15,neutral,hard,0.7,True,True,ok,planner_compiled,False,,2
spider_dev,16,neutral,hard,0.85,True,True,ok,planner_compiled,False,,2
spider_dev,17,neutral,hard,0.85,True,True,ok,planner_compiled,False,,2
spider_dev,18,neutral,hard,0.85,True,True,ok,planner_compiled,False,,2
spider_dev,19,harmful,hard,0.85,True,True,ok,planner_compiled,False,,2
spider_dev,20,neutral,hard,0.8,True,True,ok,planner_compiled,False,,2
spider_dev,21,neutral,hard,0.5,True,True,ok,planner_compiled,False,,2
spider_dev,22,neutral,hard,0.85,True,True,ok,planner_compiled,False,,2
spider_dev,23,neutral,hard,0.5,True,True,ok,planner_compiled,False,,2
spider_dev,24,harmful,hard,1.0,True,True,ok,planner_compiled,False,,2
spider_dev,25,harmful,hard,1.0,True,True,ok,planner_compiled,False,,2
spider_dev,26,harmful,hard,0.65,True,True,ok,planner_compiled,False,,2
spider_dev,27,harmful,hard,0.65,True,True,ok,planner_compiled,False,,2
spider_dev,28,neutral,easy,0.2,False,False,skipped,b0_anchor_easy,False,,1
spider_dev,29,neutral,hard,0.35,True,False,skipped,b0_anchor_plan_invalid,True,"plan_invalid:jsonschema:'subquery' is not one of [None, 'int', 'float', 'string', 'date', 'column', 'list_int', 'list_string', 'tuple']",2
spider_dev,30,neutral,hard,0.85,True,True,ok,planner_compiled,False,,2
spider_dev,31,neutral,hard,0.7,True,False,skipped,b0_anchor_plan_invalid,True,"plan_invalid:jsonschema:'subquery' is not one of [None, 'int', 'float', 'string', 'date', 'column', 'list_int', 'list_string', 'tuple']",2
spider_dev,32,neutral,hard,0.35,True,False,skipped,b0_anchor_plan_invalid,True,"plan_invalid:jsonschema:'subquery' is not one of [None, 'int', 'float', 'string', 'date', 'column', 'list_int', 'list_string', 'tuple']",2
spider_dev,33,neutral,hard,0.85,True,True,ok,planner_compiled,False,,2
spider_dev,34,neutral,hard,0.55,True,True,ok,planner_compiled,False,,2
spider_dev,35,neutral,hard,0.85,True,True,ok,planner_compiled,False,,2
spider_dev,36,neutral,hard,0.85,True,True,ok,planner_compiled,False,,2
spider_dev,37,harmful,hard,0.35,True,True,ok,planner_compiled,False,,2
spider_dev,38,neutral,hard,0.35,True,True,ok,planner_compiled,False,,2
spider_dev,39,neutral,hard,0.55,True,True,ok,planner_compiled,False,,2
spider_dev,40,neutral,hard,0.85,True,True,ok,planner_compiled,False,,2
spider_dev,41,neutral,hard,0.7,True,False,skipped,b0_anchor_plan_invalid,True,plan_invalid:jsonschema:'agg' is a required property,2
spider_dev,42,neutral,hard,0.55,True,False,skipped,b0_anchor_plan_invalid,True,plan_invalid:jsonschema:'answer_shape' is a required property,2
spider_dev,43,neutral,hard,0.65,True,False,skipped,b0_anchor_plan_invalid,True,"plan_invalid:jsonschema:'subquery' is not one of [None, 'int', 'float', 'string', 'date', 'column', 'list_int', 'list_string', 'tuple']",2
spider_dev,44,neutral,hard,0.35,True,False,skipped,b0_anchor_plan_invalid,True,"plan_invalid:jsonschema:'subquery' is not one of [None, 'int', 'float', 'string', 'date', 'column', 'list_int', 'list_string', 'tuple']",2
spider_dev,45,neutral,hard,0.35,True,False,skipped,b0_anchor_plan_invalid,True,"plan_invalid:jsonschema:'number' is not one of [None, 'int', 'float', 'string', 'date', 'column', 'list_int', 'list_string', 'tuple']",2
spider_dev,46,neutral,hard,0.5,True,False,skipped,b0_anchor_plan_invalid,True,"plan_invalid:jsonschema:'number' is not one of [None, 'int', 'float', 'string', 'date', 'column', 'list_int', 'list_string', 'tuple']",2
spider_dev,47,neutral,easy,0.2,False,False,skipped,b0_anchor_easy,False,,1
spider_dev,48,neutral,easy,0.2,False,False,skipped,b0_anchor_easy,False,,1
spider_dev,49,neutral,hard,0.85,True,True,ok,planner_compiled,False,,2
spider_dev,50,neutral,hard,0.85,True,True,ok,planner_compiled,False,,2
spider_dev,51,harmful,hard,0.35,True,True,ok,planner_compiled,False,,2
spider_dev,52,harmful,hard,0.65,True,True,ok,planner_compiled,False,,2
spider_dev,53,neutral,hard,0.35,True,True,ok,planner_compiled,False,,2
spider_dev,54,neutral,hard,0.5,True,True,ok,planner_compiled,False,,2
spider_dev,55,neutral,hard,0.5,True,True,ok,planner_compiled,False,,2
spider_dev,56,neutral,hard,0.5,True,True,ok,planner_compiled,False,,2
spider_dev,57,neutral,hard,0.65,True,False,skipped,b0_anchor_plan_invalid,True,"plan_invalid:jsonschema:'list' is not one of [None, 'int', 'float', 'string', 'date', 'column', 'list_int', 'list_string', 'tuple']",2
spider_dev,58,neutral,hard,0.65,True,False,skipped,b0_anchor_plan_invalid,True,"plan_invalid:jsonschema:'list' is not one of [None, 'int', 'float', 'string', 'date', 'column', 'list_int', 'list_string', 'tuple']",2
spider_dev,59,neutral,hard,0.85,True,False,skipped,b0_anchor_plan_invalid,True,plan_invalid:jsonschema:'agg' is a required property,2
spider_dev,60,neutral,hard,0.85,True,False,skipped,b0_anchor_plan_invalid,True,plan_invalid:jsonschema:'agg' is a required property,2
spider_dev,61,neutral,hard,0.55,True,False,skipped,b0_anchor_plan_invalid,True,"plan_invalid:jsonschema:'NOT IN' is not one of ['=', '!=', '<', '<=', '>', '>=', 'in', 'not in', 'like', 'not like', 'between', 'is null', 'is not null']",2
spider_dev,62,neutral,hard,0.55,True,True,ok,planner_compiled,False,,2
spider_dev,63,neutral,hard,0.35,True,False,skipped,b0_anchor_plan_invalid,True,plan_invalid:jsonschema:'op' is a required property,2
spider_dev,64,harmful,hard,0.35,True,True,ok,planner_compiled,False,,2
spider_dev,65,harmful,hard,0.85,True,True,ok,planner_compiled,False,,2
spider_dev,66,neutral,hard,0.65,True,True,ok,planner_compiled,False,,2
spider_dev,67,neutral,hard,0.4,True,True,ok,planner_compiled,False,,2
spider_dev,68,neutral,hard,0.55,True,True,ok,planner_compiled,False,,2
spider_dev,69,neutral,hard,0.55,True,True,ok,planner_compiled,False,,2
spider_dev,70,neutral,hard,0.55,True,True,ok,planner_compiled,False,,2
spider_dev,71,neutral,hard,0.85,True,True,ok,planner_compiled,False,,2
spider_dev,72,neutral,hard,0.85,True,True,ok,planner_compiled,False,,2
spider_dev,73,neutral,hard,0.5,True,True,ok,planner_compiled,False,,2
spider_dev,74,neutral,hard,0.65,True,True,ok,planner_compiled,False,,2
spider_dev,75,neutral,hard,0.85,True,True,ok,planner_compiled,False,,2
spider_dev,76,neutral,hard,0.85,True,True,ok,planner_compiled,False,,2
spider_dev,77,harmful,hard,0.65,True,True,ok,planner_compiled,False,,2
spider_dev,78,harmful,hard,0.65,True,True,ok,planner_compiled,False,,2
spider_dev,79,neutral,hard,0.85,True,True,ok,planner_compiled,False,,2
spider_dev,80,neutral,hard,0.65,True,True,ok,planner_compiled,False,,2
spider_dev,81,harmful,hard,0.85,True,True,ok,planner_compiled,False,,2
spider_dev,82,harmful,hard,0.85,True,True,ok,planner_compiled,False,,2
spider_dev,83,neutral,hard,0.65,True,True,ok,planner_compiled,False,,2
spider_dev,84,neutral,hard,0.8,True,True,ok,planner_compiled,False,,2
spider_dev,85,neutral,hard,0.65,True,False,skipped,b0_anchor_plan_invalid,True,"plan_invalid:jsonschema:'subquery' is not one of [None, 'int', 'float', 'string', 'date', 'column', 'list_int', 'list_string', 'tuple']",2
