instance_id,source,parses,error_type,n_4part_collapsed,n_quoted_blob_unwrapped,sql_chars,original_sql_chars
sf_bq011,C0_direct,False,syntax,2,0,539,603
sf_bq011,C1_retrieval_docs,False,object_not_found,3,0,637,733
sf_bq011,C2_cte_decomp,False,syntax,2,0,1106,1170
sf_bq009,C0_direct,False,object_not_found,1,0,675,699
sf_bq009,C1_retrieval_docs,False,object_not_found,1,0,675,699
sf_bq009,C2_cte_decomp,False,object_not_found,1,0,875,899
sf_bq001,C0_direct,False,object_not_found,2,0,909,957
sf_bq002,C0_direct,False,object_not_found,1,0,847,871
sf_bq002,C1_retrieval_docs,False,object_not_found,1,0,847,871
sf_bq002,C2_cte_decomp,False,object_not_found,1,0,1224,1248
sf_bq003,C0_direct,False,schema_missing,16,0,1911,2295
sf_bq003,C1_retrieval_docs,False,object_not_found,10,0,996,1236
sf_bq003,C2_cte_decomp,False,object_not_found,1,0,1469,1493
sf_bq004,C0_direct,False,object_not_found,1,0,574,598
sf_bq004,C1_retrieval_docs,False,object_not_found,1,0,659,779
sf_bq008,C0_direct,False,object_not_found,1,0,416,440
sf_bq008,C1_retrieval_docs,False,syntax,1,0,466,490
sf_bq008,C2_cte_decomp,False,syntax,3,0,922,994
sf_bq269,C0_direct,False,syntax,1,0,493,517
sf_bq269,C1_retrieval_docs,False,object_not_found,2,0,1347,1395
sf_bq269,C2_cte_decomp,False,object_not_found,1,0,1115,1139
sf_bq268,C0_direct,False,object_not_found,1,0,449,473
sf_bq268,C1_retrieval_docs,False,object_not_found,4,0,638,734
