instance_id,chosen_family,plan_validation_ok,error_class,category
bq011,B,False,schema_invalid,ast_leak
bq010,A,False,bq_dry_run_failed,function_not_found
bq009,A,True,schema_invalid,ast_leak
bq001,A,True,schema_invalid,ast_leak
bq002,A,True,bq_dry_run_failed,multi_level_unnest
bq003,A,True,schema_invalid,ast_leak
bq004,A,False,bq_dry_run_failed,multi_level_unnest
bq008,A,False,bq_dry_run_failed,group_by_window_raw
bq269,B,False,schema_invalid,ast_leak
bq268,A,True,schema_invalid,ast_leak
bq270,A,True,schema_invalid,ast_leak
bq275,A,True,schema_invalid,ast_leak
bq374,A,True,schema_invalid,ast_leak
bq019,A,True,bq_dry_run_failed,nested_aggregate
bq234,A,True,ok,ok
bq235,A,False,schema_invalid,ast_leak
bq172,A,True,bq_dry_run_failed,nested_aggregate
bq177,A,False,schema_invalid,ast_leak
bq354,A,False,ok,ok
bq355,A,True,bq_dry_run_failed,multi_table_or_unknown_name
bq032,A,True,ok,ok
bq119,A,False,schema_invalid,ast_leak
bq419,A,True,ok,ok
bq356,A,True,bq_dry_run_failed,multi_table_or_unknown_name
bq042,A,True,bq_dry_run_failed,multi_table_or_unknown_name
bq394,A,False,bq_dry_run_failed,multi_table_or_unknown_name
bq357,A,True,ok,ok
bq181,A,False,schema_invalid,ast_leak
bq045,A,False,bq_dry_run_failed,multi_table_or_unknown_name
bq290,A,True,bq_dry_run_failed,no_signature
bq031,B,False,parse_error,parse_error
bq392,A,True,ok,ok
bq208,A,False,bq_dry_run_failed,no_signature
bq047,A,False,schema_invalid,ast_leak
bq048,A,True,ok,ok
bq293,A,True,ok,ok
bq034,A,False,ok,ok
bq383,A,True,ok,ok
bq051,A,True,schema_invalid,ast_leak
bq038,B,False,schema_invalid,ast_leak
bq053,B,False,schema_invalid,ast_leak
bq054,B,False,schema_invalid,ast_leak
bq021,A,False,schema_invalid,ast_leak
bq202,A,True,ok,ok
bq185,A,True,ok,ok
bq040,A,True,schema_invalid,ast_leak
bq098,A,False,schema_invalid,ast_leak
bq039,A,False,schema_invalid,ast_leak
bq203,B,True,schema_invalid,ast_leak
bq035,A,False,schema_invalid,ast_leak
