pilot,instance_id,source,schema_valid,repair_succeeded,n_unknown_tables,n_unknown_columns,applied_nested_rewrite
lite_bq_v16_pilot10,bq011,C0_direct,False,False,0,2,"['ga4_event_params_exists', 'ga4_event_params_exists']"
lite_bq_v16_pilot10,bq011,C1_retrieval,False,False,0,2,"['ga4_event_params_exists', 'ga4_event_params_exists']"
lite_bq_v16_pilot10,bq011,C2_cte,True,True,0,0,[]
lite_bq_v16_pilot10,bq010,C0_direct,False,False,4,15,[]
lite_bq_v16_pilot10,bq010,C1_retrieval,False,False,4,15,[]
lite_bq_v16_pilot10,bq010,C2_cte,False,False,5,23,[]
lite_bq_v16_pilot10,bq009,C0_direct,True,True,0,0,[]
lite_bq_v16_pilot10,bq009,C1_retrieval,True,True,0,0,[]
lite_bq_v16_pilot10,bq009,C2_cte,True,True,0,0,[]
lite_bq_v16_pilot10,bq001,C0_direct,False,False,4,6,[]
lite_bq_v16_pilot10,bq001,C1_retrieval,False,False,4,6,[]
lite_bq_v16_pilot10,bq001,C2_cte,False,False,4,6,[]
lite_bq_v16_pilot10,bq002,C0_direct,False,False,3,11,[]
lite_bq_v16_pilot10,bq002,C1_retrieval,True,True,0,0,[]
lite_bq_v16_pilot10,bq002,C2_cte,True,True,0,0,[]
lite_bq_v16_pilot10,bq003,C0_direct,False,False,0,1,[]
lite_bq_v16_pilot10,bq003,C1_retrieval,False,False,0,1,[]
lite_bq_v16_pilot10,bq003,C2_cte,True,True,0,0,[]
lite_bq_v16_pilot10,bq004,C0_direct,False,False,1,8,[]
lite_bq_v16_pilot10,bq004,C1_retrieval,False,False,1,7,[]
lite_bq_v16_pilot10,bq004,C2_cte,False,False,4,13,[]
lite_bq_v16_pilot10,bq008,C0_direct,False,False,4,14,[]
lite_bq_v16_pilot10,bq008,C1_retrieval,False,False,3,10,[]
lite_bq_v16_pilot10,bq008,C2_cte,False,False,3,10,[]
lite_bq_v16_pilot10,bq269,C0_direct,True,True,0,0,[]
lite_bq_v16_pilot10,bq269,C1_retrieval,True,True,0,0,[]
lite_bq_v16_pilot10,bq269,C2_cte,True,True,0,0,[]
lite_bq_v16_pilot10,bq268,C0_direct,True,True,0,0,[]
lite_bq_v16_pilot10,bq268,C1_retrieval,False,False,4,8,[]
lite_bq_v16_pilot10,bq268,C2_cte,True,True,0,0,[]
snow_v16_pilot10,sf_bq011,C0_direct,False,False,2,4,[]
snow_v16_pilot10,sf_bq011,C1_retrieval,False,False,1,0,[]
snow_v16_pilot10,sf_bq011,C2_cte,False,False,4,0,[]
snow_v16_pilot10,sf_bq010,C0_direct,False,False,0,0,[]
snow_v16_pilot10,sf_bq010,C1_retrieval,False,False,5,4,[]
snow_v16_pilot10,sf_bq010,C2_cte,False,False,0,0,[]
snow_v16_pilot10,sf_bq009,C0_direct,False,False,4,6,[]
snow_v16_pilot10,sf_bq009,C1_retrieval,False,False,0,0,[]
snow_v16_pilot10,sf_bq009,C2_cte,False,False,3,0,[]
snow_v16_pilot10,sf_bq001,C0_direct,False,False,4,6,[]
snow_v16_pilot10,sf_bq001,C1_retrieval,False,False,4,8,[]
snow_v16_pilot10,sf_bq001,C2_cte,False,False,4,7,[]
snow_v16_pilot10,sf_bq002,C0_direct,False,False,0,0,[]
snow_v16_pilot10,sf_bq002,C1_retrieval,False,False,4,13,[]
snow_v16_pilot10,sf_bq002,C2_cte,False,False,0,0,[]
snow_v16_pilot10,sf_bq003,C0_direct,False,False,1,0,[]
snow_v16_pilot10,sf_bq003,C1_retrieval,False,False,0,0,[]
snow_v16_pilot10,sf_bq003,C2_cte,False,False,4,5,[]
snow_v16_pilot10,sf_bq004,C0_direct,False,False,0,0,[]
snow_v16_pilot10,sf_bq004,C1_retrieval,False,False,1,6,[]
snow_v16_pilot10,sf_bq004,C2_cte,False,False,0,0,[]
snow_v16_pilot10,sf_bq008,C0_direct,False,False,0,0,[]
snow_v16_pilot10,sf_bq008,C1_retrieval,False,False,3,1,[]
snow_v16_pilot10,sf_bq008,C2_cte,False,False,5,23,[]
snow_v16_pilot10,sf_bq269,C0_direct,False,False,4,0,[]
snow_v16_pilot10,sf_bq269,C1_retrieval,False,False,4,0,[]
snow_v16_pilot10,sf_bq269,C2_cte,False,False,4,0,[]
snow_v16_pilot10,sf_bq268,C0_direct,False,False,4,11,[]
snow_v16_pilot10,sf_bq268,C1_retrieval,False,False,4,5,[]
snow_v16_pilot10,sf_bq268,C2_cte,False,False,4,11,[]
