id,title,category,current_status,evidence_present,evidence_required,gap_to_close
2.2.1,Анализ NL-запросов,functional,partial,2,6,Need explicit query analysis layer (intent + signals) — STAGE 1 in this iteration.
2.2.2,Определение релевантных источников/таблиц/атрибутов,functional,done,4,4,Already done.
2.2.3,Генерация формализованных запросов с safety/performance,functional,done,6,6,Already done.
2.2.4,Валидация и repair,functional,done,4,4,Already done.
2.2.5,Предварительная обработка и агрегация результатов,functional,done,4,4,Already done.
2.2.6,Передача результатов в подсистему аналитического представления,functional,done,3,3,Already done.
2.3,"Документация (архитектура, форматы, тестирование, эксплуатация)",functional,not_started,0,7,Need bundled docs/ package — STAGE 2 in this iteration.
3.1,Постановка задачи / ТЗ,work_content,not_started,0,3,Already done.
3.2,Анализ предметной области,work_content,partial,2,3,Already done.
3.3,Исследование методов NLP,work_content,partial,4,5,Already done; query_analysis_design.md will reinforce it.
3.4,Формализация требований,work_content,partial,3,5,Already done.
3.5,Архитектура системы,work_content,not_started,0,4,Need bundled architecture artefacts — STAGE 3.
3.6,Прототип системы,work_content,partial,6,7,Already done; query_analysis adds extra component.
3.7,Экспериментальное исследование,work_content,partial,4,8,Need B2_v1 rerun + B3_v1 + B4_final + multidb_30 ablation — STAGES 4/5/6/8.
3.8,Техническая документация,work_content,not_started,0,5,Need bundled docs — STAGE 2.
