baseline_family,run_prefix,reuse_decision,reason
b0,b0_llama_3p1_8b_bird_minidev_30,reuse_as_is,completed before v7; numbers authoritative (EX=0.13333333333333333)
b0,b0_llama_3p1_8b_instruct_multidb30,reuse_as_is,completed before v7; numbers authoritative (EX=0.8333333333333334)
b0,b0_llama_3p1_8b_instruct_smoke10,reuse_as_is,completed before v7; numbers authoritative (EX=0.8)
b0,b0_llama_3p1_8b_instruct_smoke25,reuse_as_is,completed before v7; numbers authoritative (EX=0.6)
b0,b0_llama_3p1_8b_spider2lite_30,reuse_as_is,completed before v7; numbers authoritative (EX=0.0)
b0,b0_multidb30_v2,reuse_as_is,completed before v7; numbers authoritative (EX=0.9333333333333333)
b0,b0_qwen2p5_coder_14b_bird_minidev_30,reuse_as_is,completed before v7; numbers authoritative (EX=0.23333333333333334)
b0,b0_qwen2p5_coder_14b_instruct_multidb30,reuse_as_is,completed before v7; numbers authoritative (EX=0.8666666666666667)
b0,b0_qwen2p5_coder_14b_instruct_smoke10,reuse_as_is,completed before v7; numbers authoritative (EX=1.0)
b0,b0_qwen2p5_coder_14b_instruct_smoke25,reuse_as_is,completed before v7; numbers authoritative (EX=0.96)
b0,b0_qwen2p5_coder_14b_spider2lite_30,reuse_as_is,completed before v7; numbers authoritative (EX=0.0)
b0,b0_qwen2p5_coder_7b_bird_minidev_30,reuse_as_is,completed before v7; numbers authoritative (EX=0.26666666666666666)
b0,b0_qwen2p5_coder_7b_spider2lite_30,reuse_as_is,completed before v7; numbers authoritative (EX=0.0)
b0,b0_qwen_qwen2.5_7b_instruct_bird_minidev_30,reuse_as_is,completed before v7; numbers authoritative (EX=0.2)
b0,b0_qwen_qwen2.5_7b_instruct_multidb30,reuse_as_is,completed before v7; numbers authoritative (EX=0.8)
b0,b0_qwen_qwen2.5_7b_instruct_smoke10,reuse_as_is,completed before v7; numbers authoritative (EX=0.6)
b0,b0_qwen_qwen2.5_7b_instruct_smoke25,reuse_as_is,completed before v7; numbers authoritative (EX=0.72)
b0,b0_qwen_qwen2.5_7b_instruct_spider2lite_30,reuse_as_is,completed before v7; numbers authoritative (EX=0.0)
b0,b0_spider_smoke10,reuse_as_is,completed before v7; numbers authoritative (EX=1.0)
b0,b0_spider_smoke25,reuse_as_is,completed before v7; numbers authoritative (EX=0.96)
b1,b1_llama_3p1_8b_bird_minidev_30,reuse_as_is,completed before v7; numbers authoritative (EX=0.13333333333333333)
b1,b1_llama_3p1_8b_instruct_multidb30,reuse_as_is,completed before v7; numbers authoritative (EX=0.7)
b1,b1_llama_3p1_8b_instruct_smoke10,reuse_as_is,completed before v7; numbers authoritative (EX=0.9)
b1,b1_llama_3p1_8b_instruct_smoke25,reuse_as_is,completed before v7; numbers authoritative (EX=0.72)
b1,b1_llama_3p1_8b_spider2lite_30,reuse_as_is,completed before v7; numbers authoritative (EX=0.0)
b1,b1_multidb30_v2,reuse_as_is,completed before v7; numbers authoritative (EX=0.7666666666666667)
b1,b1_qwen2p5_coder_14b_bird_minidev_30,reuse_as_is,completed before v7; numbers authoritative (EX=0.2)
b1,b1_qwen2p5_coder_14b_instruct_multidb30,reuse_as_is,completed before v7; numbers authoritative (EX=0.7666666666666667)
b1,b1_qwen2p5_coder_14b_instruct_smoke10,reuse_as_is,completed before v7; numbers authoritative (EX=1.0)
b1,b1_qwen2p5_coder_14b_instruct_smoke25,reuse_as_is,completed before v7; numbers authoritative (EX=0.92)
b1,b1_qwen2p5_coder_14b_spider2lite_30,reuse_as_is,completed before v7; numbers authoritative (EX=0.0)
b1,b1_qwen2p5_coder_7b_bird_minidev_30,reuse_as_is,completed before v7; numbers authoritative (EX=0.2)
b1,b1_qwen2p5_coder_7b_spider2lite_30,reuse_as_is,completed before v7; numbers authoritative (EX=0.0)
b1,b1_qwen_qwen2.5_7b_instruct_bird_minidev_30,reuse_as_is,completed before v7; numbers authoritative (EX=0.16666666666666666)
b1,b1_qwen_qwen2.5_7b_instruct_multidb30,reuse_as_is,completed before v7; numbers authoritative (EX=0.7)
b1,b1_qwen_qwen2.5_7b_instruct_smoke10,reuse_as_is,completed before v7; numbers authoritative (EX=1.0)
b1,b1_qwen_qwen2.5_7b_instruct_smoke25,reuse_as_is,completed before v7; numbers authoritative (EX=0.84)
b1,b1_qwen_qwen2.5_7b_instruct_spider2lite_30,reuse_as_is,completed before v7; numbers authoritative (EX=0.0)
b1,b1_spider_smoke10,reuse_as_is,completed before v7; numbers authoritative (EX=1.0)
b1,b1_spider_smoke25,reuse_as_is,completed before v7; numbers authoritative (EX=0.96)
b2,b2_spider_smoke10,reuse_as_is,completed before v7; numbers authoritative (EX=0.7)
b2v1,b2v1_multidb30,reuse_as_is,completed before v7; numbers authoritative (EX=0.6333333333333333)
b2v1,b2v1_spider_smoke10,reuse_as_is,completed before v7; numbers authoritative (EX=0.6)
b2v2,b2v2_llama_3p1_8b_bird_minidev_30,reuse_as_is,completed before v7; numbers authoritative (EX=0.06666666666666667)
b2v2,b2v2_llama_3p1_8b_multidb30,reuse_as_is,completed before v7; numbers authoritative (EX=0.7333333333333333)
