baseline,model_slug,subset,expected_prefix,present,priority,why
B2_v3,qwen2p5_coder_7b,smoke_25,b2v3_qwen2p5_coder_7b_smoke25,False,P0,v3 baseline closure
B4_v3,qwen2p5_coder_7b,smoke_25,b4v3_qwen2p5_coder_7b_smoke25,False,P0,v3 baseline closure
B2_v3,qwen2p5_coder_7b,multidb_30,b2v3_qwen2p5_coder_7b_multidb30,False,P0,v3 baseline closure
B4_v3,qwen2p5_coder_7b,multidb_30,b4v3_qwen2p5_coder_7b_multidb30,False,P0,v3 baseline closure
B2_v3,qwen2p5_coder_7b,bird_minidev_30,b2v3_qwen2p5_coder_7b_bird_minidev_30,False,P0,v3 baseline closure
B4_v3,qwen2p5_coder_7b,bird_minidev_30,b4v3_qwen2p5_coder_7b_bird_minidev_30,False,P0,v3 baseline closure
B0,gemma_3_12b_it,smoke_10,b0_gemma_3_12b_it_smoke10,False,P1,gemma_screening
B0,gemma_3_12b_it,smoke_25,b0_gemma_3_12b_it_smoke25,False,P1,gemma_screening
B0,gemma_3_12b_it,multidb_30,b0_gemma_3_12b_it_multidb30,False,P1,gemma_screening
B0,gemma_3_12b_it,bird_minidev_30,b0_gemma_3_12b_it_bird_minidev_30,False,P1,gemma_screening
B1_v3,gemma_3_12b_it,multidb_30,b1v3_gemma_3_12b_it_multidb30,False,P1,gemma_b1v3
B1_v3,gemma_3_12b_it,bird_minidev_30,b1v3_gemma_3_12b_it_bird_minidev_30,False,P1,gemma_b1v3
B0,sqlcoder_7b_2,multidb_30,b0_sqlcoder_7b_2_multidb30,False,P1,sqlcoder_screening
B0,sqlcoder_7b_2,bird_minidev_30,b0_sqlcoder_7b_2_bird_minidev_30,False,P1,sqlcoder_screening
B1_v3,sqlcoder_7b_2,bird_minidev_30,b1v3_sqlcoder_7b_2_bird_minidev_30,False,P1,sqlcoder_b1v3
B0,qwen2p5_coder_32b,smoke_25,b0_qwen2p5_coder_32b_smoke25,False,P1,qwen32b_screening
B0,qwen2p5_coder_32b,multidb_30,b0_qwen2p5_coder_32b_multidb30,False,P1,qwen32b_screening
B0,qwen2p5_coder_32b,bird_minidev_30,b0_qwen2p5_coder_32b_bird_minidev_30,False,P1,qwen32b_screening
B1_v3,qwen2p5_coder_32b,multidb_30,b1v3_qwen2p5_coder_32b_multidb30,False,P1,qwen32b_b1v3
B1_v3,qwen2p5_coder_32b,bird_minidev_30,b1v3_qwen2p5_coder_32b_bird_minidev_30,False,P1,qwen32b_b1v3
