benchmark,benchmark_group,baseline,model,model_slug,status,metric_type,primary_metric_name,primary_metric_value,numerator,denominator,existing_artifact_prefix,blocker_reason
smoke_10,internal_core,B0,Qwen2.5-Coder-7B-Instruct,qwen2p5_coder_7b,done,EX,EX,1.0,10,10,b0_spider_smoke10,
smoke_10,internal_core,B0,Qwen2.5-Coder-14B-Instruct,qwen2p5_coder_14b,done,EX,EX,1.0,10,10,b0_qwen2p5_coder_14b_instruct_smoke10,
smoke_10,internal_core,B0,Llama-3.1-8B-Instruct,llama_3p1_8b,done,EX,EX,0.8,8,10,b0_llama_3p1_8b_instruct_smoke10,
smoke_10,internal_core,B0,Qwen2.5-7B-Instruct,qwen_qwen2.5_7b_instruct,done,EX,EX,0.6,6,10,b0_qwen_qwen2.5_7b_instruct_smoke10,
smoke_10,internal_core,B0,DeepSeek-Coder-V2-Lite-Instruct,deepseek_coder_v2_lite,blocked,EX,,,,,,environmental: trust_remote_code ABI mismatch with transformers 5.0.0; needs fresh kernel with transformers==4.39.3
smoke_10,internal_core,B1,Qwen2.5-Coder-7B-Instruct,qwen2p5_coder_7b,done,EX,EX,1.0,10,10,b1_spider_smoke10,
smoke_10,internal_core,B1,Qwen2.5-Coder-14B-Instruct,qwen2p5_coder_14b,done,EX,EX,1.0,10,10,b1_qwen2p5_coder_14b_instruct_smoke10,
smoke_10,internal_core,B1,Llama-3.1-8B-Instruct,llama_3p1_8b,done,EX,EX,0.9,9,10,b1_llama_3p1_8b_instruct_smoke10,
smoke_10,internal_core,B1,Qwen2.5-7B-Instruct,qwen_qwen2.5_7b_instruct,done,EX,EX,1.0,10,10,b1_qwen_qwen2.5_7b_instruct_smoke10,
smoke_10,internal_core,B1,DeepSeek-Coder-V2-Lite-Instruct,deepseek_coder_v2_lite,blocked,EX,,,,,,environmental: trust_remote_code ABI mismatch with transformers 5.0.0; needs fresh kernel with transformers==4.39.3
smoke_10,internal_core,B2_v2,Qwen2.5-Coder-7B-Instruct,qwen2p5_coder_7b,done,EX,EX,0.8,8,10,b2v2_spider_smoke10,
smoke_10,internal_core,B2_v2,Qwen2.5-Coder-14B-Instruct,qwen2p5_coder_14b,missing,EX,,,,,,
smoke_10,internal_core,B2_v2,Llama-3.1-8B-Instruct,llama_3p1_8b,done,EX,EX,0.8,8,10,b2v2_llama_3p1_8b_smoke10,
smoke_10,internal_core,B2_v2,Qwen2.5-7B-Instruct,qwen_qwen2.5_7b_instruct,missing,EX,,,,,,
smoke_10,internal_core,B2_v2,DeepSeek-Coder-V2-Lite-Instruct,deepseek_coder_v2_lite,blocked,EX,,,,,,environmental: trust_remote_code ABI mismatch with transformers 5.0.0; needs fresh kernel with transformers==4.39.3
smoke_10,internal_core,B3_v2,Qwen2.5-Coder-7B-Instruct,qwen2p5_coder_7b,done,EX,EX,0.8,8,10,b3v2_spider_smoke10,
smoke_10,internal_core,B3_v2,Qwen2.5-Coder-14B-Instruct,qwen2p5_coder_14b,missing,EX,,,,,,
smoke_10,internal_core,B3_v2,Llama-3.1-8B-Instruct,llama_3p1_8b,done,EX,EX,0.8,8,10,b3v2_llama_3p1_8b_smoke10,
smoke_10,internal_core,B3_v2,Qwen2.5-7B-Instruct,qwen_qwen2.5_7b_instruct,missing,EX,,,,,,
smoke_10,internal_core,B3_v2,DeepSeek-Coder-V2-Lite-Instruct,deepseek_coder_v2_lite,blocked,EX,,,,,,environmental: trust_remote_code ABI mismatch with transformers 5.0.0; needs fresh kernel with transformers==4.39.3
