instance_id,db_id,final_source,parses,all_known,executable,execution_match,exec_match_reason,rows_count,unknown_tables_n,has_join,has_groupby,has_subquery,has_window,has_unnest,has_with,bytes_billed,bytes_processed,lm_calls,latency_ms,completion_tokens,wall_time_s,candidate_count,repair_used,repair_success,repair_rounds,judge_invoked,judge_overrode,judge_chose,judge_confidence,error_type,error_message_short,bucket
bq011,ga4,C2_cte_decomp,True,False,True,False,rows_mismatch_all_variants,1,,False,True,False,False,False,True,10485760,963246,3,48666.55,765,52.52,3,False,False,0,False,False,,0.0,,,exec_ok_but_rows_mismatch
bq010,ga360,C2_cte_decomp,False,False,,False,"exec_fail:BadRequest:400 Unrecognized name: hitNumber; Did you mean visitNumber? at [3:5]; reason: invalidQuery, location",0,,True,True,False,False,True,True,0,0,4,76286.55,1171,78.69,3,True,False,1,False,False,,0.0,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Unrecognized name: hitNumber; Did you mean ,unrecognized_column
bq009,ga360,C0_direct,True,False,True,False,rows_mismatch_all_variants,224,,False,True,False,False,False,True,10485760,9395844,3,38213.83,560,54.49,3,False,False,0,False,False,,0.0,,,exec_ok_but_rows_mismatch
bq001,ga360,C2_cte_decomp,False,False,,False,"exec_fail:BadRequest:400 Field name items does not exist in STRUCT<hitNumber INT64, time INT64, hour INT64, ...>; Did you",0,,False,True,True,False,True,True,0,0,5,69779.12,1045,72.43,3,True,False,2,False,False,,0.0,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Field name items does not exist in STRUCT<h,other_bad_request
bq002,ga360,C2_cte_decomp,False,False,,False,"exec_fail:BadRequest:400 No matching signature for function DATE_TRUNC
  Argument types: STRING, DATE_TIME_PART
  Signatu",0,,False,True,True,False,False,True,0,0,5,98310.83,1490,100.87,3,True,False,2,False,False,,0.0,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: No matching signature for function DATE_TRU,function_signature
bq003,ga360,C3_repaired,True,False,True,False,rows_mismatch_all_variants,0,,False,False,False,False,False,False,0,0,4,52968.74,774,57.86,4,True,True,1,False,False,,0.0,,,exec_ok_but_rows_mismatch
bq004,ga360,C2_cte_decomp,False,False,,False,"exec_fail:BadRequest:400 Syntax error: Unexpected keyword UNNEST at [3:5]; reason: invalidQuery, location: query, message",0,,True,True,False,False,True,True,0,0,5,72774.06,1095,75.11,3,True,False,2,False,False,,0.0,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Syntax error: Unexpected keyword UNNEST at ,syntax_error
bq008,ga360,C3_repaired,True,False,True,False,rows_mismatch_all_variants,0,,True,False,False,False,True,False,0,0,4,57781.53,863,62.13,4,True,True,1,False,False,,0.0,,,exec_ok_but_rows_mismatch
bq269,ga360,C3_repaired,True,False,True,False,rows_mismatch_all_variants,0,,False,True,False,False,False,True,0,0,4,74236.55,1131,78.77,4,True,True,1,False,False,,0.0,,,exec_ok_but_rows_mismatch
bq268,ga360,C2_cte_decomp,True,False,True,False,rows_mismatch_all_variants,1,,True,True,False,False,False,True,10485760,51399,3,38809.4,573,41.48,3,False,False,0,False,False,,0.0,,,exec_ok_but_rows_mismatch
