baseline,version,run_id,model,subset,benchmark_group,n,EX,executable_count,plan_valid_count,avg_reduction,fallback_rate,repair_rate,latency_p50_ms,latency_p95_ms,wilson_ci_low,wilson_ci_high,baseline_name,schema_strategy,evaluation_mode,status
b0,,b0_gemma_3_12b_it_bird_minidev_30,google/gemma-3-12b-it,bird_minidev_30,external_validation,30,0.23333333333333334,25,,0.0,0.0,0.0,5905.1,10827.3,0.1179,0.4093,B0,full_schema,full_ex,completed
b0,,b0_gemma_3_12b_it_multidb30,google/gemma-3-12b-it,multidb_30,internal_core,30,0.8666666666666667,30,,0.0,0.0,0.0,1333.1,4755.0,0.7032,0.9469,B0,full_schema,full_ex,completed
b0,,b0_gemma_3_12b_it_smoke10,google/gemma-3-12b-it,smoke_10,internal_core,10,1.0,10,,0.0,0.0,0.0,1786.8,3648.5,0.7225,1.0000,B0,full_schema,full_ex,completed
b0,,b0_gemma_3_12b_it_smoke25,google/gemma-3-12b-it,smoke_25,internal_core,25,0.96,25,,0.0,0.0,0.0,2185.7,4684.9,0.8046,0.9929,B0,full_schema,full_ex,completed
b0,,b0_llama_3p1_8b_bird_minidev_30,meta-llama/Llama-3.1-8B-Instruct,bird_minidev_30,external_validation,30,0.13333333333333333,20,,,,,,,0.0531,0.2968,,full_schema,full_ex,completed
b0,,b0_llama_3p1_8b_instruct_multidb30,meta-llama/Llama-3.1-8B-Instruct,multidb_30,internal_core,30,0.8333333333333334,28,,,,,,,0.6644,0.9266,,full_schema,full_ex,completed
b0,,b0_llama_3p1_8b_instruct_smoke10,meta-llama/Llama-3.1-8B-Instruct,smoke_10,internal_core,10,0.8,10,,,,,,,0.4902,0.9433,,full_schema,full_ex,completed
b0,,b0_llama_3p1_8b_instruct_smoke25,meta-llama/Llama-3.1-8B-Instruct,smoke_25,internal_core,25,0.6,23,,,,,,,0.4074,0.7660,,full_schema,full_ex,completed
b0,,b0_llama_3p1_8b_spider2lite_30,meta-llama/Llama-3.1-8B-Instruct,spider2lite_30,external_validation,30,0.0,0,,,,,,,0.0000,0.1135,,full_schema_proxy,prediction_only_structural_metrics,completed
b0,v2,b0_multidb30_v2,Qwen/Qwen2.5-Coder-7B-Instruct,multidb_30,internal_core,30,0.9333333333333333,30,,,,,,,0.7868,0.9815,,full_schema,full_ex,completed
b0,,b0_qwen2p5_coder_14b_bird_minidev_30,Qwen/Qwen2.5-Coder-14B-Instruct,bird_minidev_30,external_validation,30,0.23333333333333334,27,,,,,,,0.1179,0.4093,,full_schema,full_ex,completed
b0,,b0_qwen2p5_coder_14b_instruct_multidb30,Qwen/Qwen2.5-Coder-14B-Instruct,multidb_30,internal_core,30,0.8666666666666667,30,,,,,,,0.7032,0.9469,,full_schema,full_ex,completed
b0,,b0_qwen2p5_coder_14b_instruct_smoke10,Qwen/Qwen2.5-Coder-14B-Instruct,smoke_10,internal_core,10,1.0,10,,,,,,,0.7225,1.0000,,full_schema,full_ex,completed
b0,,b0_qwen2p5_coder_14b_instruct_smoke25,Qwen/Qwen2.5-Coder-14B-Instruct,smoke_25,internal_core,25,0.96,25,,,,,,,0.8046,0.9929,,full_schema,full_ex,completed
b0,,b0_qwen2p5_coder_14b_spider2lite_30,Qwen/Qwen2.5-Coder-14B-Instruct,spider2lite_30,external_validation,30,0.0,0,,,,,,,0.0000,0.1135,,full_schema,prediction_only_structural_metrics,completed
b0,,b0_qwen2p5_coder_32b_bird_minidev_30,Qwen/Qwen2.5-Coder-32B-Instruct,bird_minidev_30,external_validation,30,0.26666666666666666,27,,0.0,0.0,0.0,7109.3,13114.3,0.1418,0.4445,B0,full_schema,full_ex,completed
b0,,b0_qwen2p5_coder_32b_multidb30,Qwen/Qwen2.5-Coder-32B-Instruct,multidb_30,internal_core,30,0.8333333333333334,30,,0.0,0.0,0.0,1524.8,5317.2,0.6644,0.9266,B0,full_schema,full_ex,completed
b0,,b0_qwen2p5_coder_32b_smoke25,Qwen/Qwen2.5-Coder-32B-Instruct,smoke_25,internal_core,25,0.96,25,,0.0,0.0,0.0,2705.6,5043.7,0.8046,0.9929,B0,full_schema,full_ex,completed
b0,,b0_qwen2p5_coder_7b_bird_minidev_30,Qwen/Qwen2.5-Coder-7B-Instruct,bird_minidev_30,external_validation,30,0.26666666666666666,26,,,,,,,0.1418,0.4445,,full_schema,full_ex,completed
b0,,b0_qwen2p5_coder_7b_spider2lite_30,Qwen/Qwen2.5-Coder-7B-Instruct,spider2lite_30,external_validation,30,0.0,0,,,,,,,0.0000,0.1135,,full_schema_proxy,prediction_only_structural_metrics,completed
b0,,b0_qwen3_8b_bird_minidev_30,Qwen/Qwen3-8B,bird_minidev_30,external_validation,30,0.13333333333333333,26,,0.0,0.0,,,,0.0531,0.2968,B0,full_schema,full_ex,completed
b0,,b0_qwen3_8b_multidb30,Qwen/Qwen3-8B,multidb_30,internal_core,30,0.9,30,,0.0,0.0,,,,0.7438,0.9654,B0,full_schema,full_ex,completed
b0,,b0_qwen3_8b_smoke25,Qwen/Qwen3-8B,smoke_25,internal_core,25,0.76,25,,0.0,0.0,,,,0.5657,0.8850,B0,full_schema,full_ex,completed
b0,,b0_qwen_qwen2.5_7b_instruct_bird_minidev_30,Qwen/Qwen2.5-7B-Instruct,bird_minidev_30,external_validation,30,0.2,23,,,,,,,0.0950,0.3731,,full_schema,full_ex,completed
b0,,b0_qwen_qwen2.5_7b_instruct_multidb30,Qwen/Qwen2.5-7B-Instruct,multidb_30,internal_core,30,0.8,30,,,,,,,0.6269,0.9050,,full_schema,full_ex,completed
b0,,b0_qwen_qwen2.5_7b_instruct_smoke10,Qwen/Qwen2.5-7B-Instruct,smoke_10,internal_core,10,0.6,9,,,,,,,0.3127,0.8318,,full_schema,full_ex,completed
b0,,b0_qwen_qwen2.5_7b_instruct_smoke25,Qwen/Qwen2.5-7B-Instruct,smoke_25,internal_core,25,0.72,23,,,,,,,0.5242,0.8572,,full_schema,full_ex,completed
b0,,b0_qwen_qwen2.5_7b_instruct_spider2lite_30,Qwen/Qwen2.5-7B-Instruct,spider2lite_30,external_validation,30,0.0,0,,,,,,,0.0000,0.1135,,full_schema,prediction_only_structural_metrics,completed
b0,,b0_spider_smoke10,Qwen/Qwen2.5-Coder-7B-Instruct,smoke_10,internal_core,10,1.0,10,,,,,,,0.7225,1.0000,,,full_ex,completed
b0,,b0_spider_smoke25,Qwen/Qwen2.5-Coder-7B-Instruct,smoke_25,internal_core,25,0.96,25,,,,,,,0.8046,0.9929,,,full_ex,completed
b0,,b0_sqlcoder_7b_2_bird_minidev_30,defog/sqlcoder-7b-2,bird_minidev_30,external_validation,30,0.03333333333333333,22,,0.0,0.0,0.0,2598.5,4225.0,0.0059,0.1667,B0,full_schema,full_ex,completed
b0,,b0_sqlcoder_7b_2_multidb30,defog/sqlcoder-7b-2,multidb_30,internal_core,30,0.7,28,,0.0,0.0,0.0,814.8,2822.2,0.5212,0.8334,B0,full_schema,full_ex,completed
b1,,b1_llama_3p1_8b_bird_minidev_30,meta-llama/Llama-3.1-8B-Instruct,bird_minidev_30,external_validation,30,0.13333333333333333,21,,0.5311263736263736,,,,,0.0531,0.2968,,lexical_schema_linking,full_ex,completed
b1,,b1_llama_3p1_8b_instruct_multidb30,meta-llama/Llama-3.1-8B-Instruct,multidb_30,internal_core,30,0.7,29,,0.5527777777777777,,,,,0.5212,0.8334,,lexical_schema_linking,full_ex,completed
b1,,b1_llama_3p1_8b_instruct_smoke10,meta-llama/Llama-3.1-8B-Instruct,smoke_10,internal_core,10,0.9,10,,0.475,,,,,0.5958,0.9821,,lexical_schema_linking,full_ex,completed
b1,,b1_llama_3p1_8b_instruct_smoke25,meta-llama/Llama-3.1-8B-Instruct,smoke_25,internal_core,25,0.72,23,,0.58,,,,,0.5242,0.8572,,lexical_schema_linking,full_ex,completed
b1,,b1_llama_3p1_8b_spider2lite_30,meta-llama/Llama-3.1-8B-Instruct,spider2lite_30,external_validation,30,0.0,0,,0.8373076923076923,,,,,0.0000,0.1135,,lexical_schema_linking,prediction_only_structural_metrics,completed
b1,v2,b1_multidb30_v2,Qwen/Qwen2.5-Coder-7B-Instruct,multidb_30,internal_core,30,0.7666666666666667,29,,0.5527777777777777,,,,,0.5907,0.8821,,lexical_schema_linking,full_ex,completed
b1,,b1_qwen2p5_coder_14b_bird_minidev_30,Qwen/Qwen2.5-Coder-14B-Instruct,bird_minidev_30,external_validation,30,0.2,24,,0.5311263736263736,,,,,0.0950,0.3731,,lexical_schema_linking,full_ex,completed
b1,,b1_qwen2p5_coder_14b_instruct_multidb30,Qwen/Qwen2.5-Coder-14B-Instruct,multidb_30,internal_core,30,0.7666666666666667,28,,0.5527777777777777,,,,,0.5907,0.8821,,lexical_schema_linking,full_ex,completed
b1,,b1_qwen2p5_coder_14b_instruct_smoke10,Qwen/Qwen2.5-Coder-14B-Instruct,smoke_10,internal_core,10,1.0,10,,0.475,,,,,0.7225,1.0000,,lexical_schema_linking,full_ex,completed
b1,,b1_qwen2p5_coder_14b_instruct_smoke25,Qwen/Qwen2.5-Coder-14B-Instruct,smoke_25,internal_core,25,0.92,25,,0.58,,,,,0.7503,0.9778,,lexical_schema_linking,full_ex,completed
b1,,b1_qwen2p5_coder_14b_spider2lite_30,Qwen/Qwen2.5-Coder-14B-Instruct,spider2lite_30,external_validation,30,0.0,0,,0.8373076923076923,,,,,0.0000,0.1135,,lexical_schema_linking,prediction_only_structural_metrics,completed
b1,,b1_qwen2p5_coder_7b_bird_minidev_30,Qwen/Qwen2.5-Coder-7B-Instruct,bird_minidev_30,external_validation,30,0.2,22,,0.5311263736263736,,,,,0.0950,0.3731,,lexical_schema_linking,full_ex,completed
b1,,b1_qwen2p5_coder_7b_spider2lite_30,Qwen/Qwen2.5-Coder-7B-Instruct,spider2lite_30,external_validation,30,0.0,0,,0.8373076923076923,,,,,0.0000,0.1135,,lexical_schema_linking,prediction_only_structural_metrics,completed
