instance_id,db_id,bucket,parses,all_known,executable,execution_match,unknown_tables_n,unknown_columns_n,has_join,has_groupby,has_subquery,lm_calls,latency_ms,completion_tokens,bytes_billed,pred_table_refs_n,pred_datasets_n,pred_first_dataset,gen_sql_chars,final_source,error_type,error_message_short
bq011,ga4,exec_ok_but_rows_mismatch,True,True,True,False,0,0,False,False,True,7,58568.51,758,41943040,2,1,bigquery-public-data.ga4_obfuscated_sample_ecommerce,404,C0_anchor,,
bq010,ga360,syntax_error,True,False,False,False,3,1,True,True,True,5,79004.32,1268,0,1,1,bigquery-public-data.google_analytics_sample,1005,C0_anchor,BadRequest,"400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Syntax error: Expected "")"" but got ""*"" at ["
bq009,ga360,syntax_error,True,False,False,False,3,3,True,True,False,4,54296.05,878,0,1,1,bigquery-public-data.google_analytics_sample,725,C0_anchor,BadRequest,"400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Syntax error: Expected "")"" but got ""*"" at ["
bq001,ga360,function_signature,True,False,False,False,3,1,True,True,False,5,66848.01,1076,0,1,1,bigquery-public-data.google_analytics_sample,834,C0_anchor,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Function not found: DATEDIFF; Did you mean 
bq002,ga360,function_signature,True,False,False,False,2,6,False,True,False,4,77319.38,1257,0,1,1,bigquery-public-data.google_analytics_sample,988,C0_anchor,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: No matching signature for function DATE_TRU
bq003,ga360,syntax_error,True,False,False,False,1,2,False,True,False,5,56297.63,904,0,1,1,bigquery-public-data.google_analytics_sample,477,C0_anchor,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Syntax error: Expected end of input but got
bq004,ga360,syntax_error,True,False,False,False,1,2,True,True,False,5,40257.34,639,0,1,1,bigquery-public-data.google_analytics_sample,401,C0_anchor,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Syntax error: Expected end of input but got
bq008,ga360,other_bad_request,True,False,False,False,3,5,True,True,False,1,23891.72,379,0,1,1,bigquery-public-data.google_analytics_sample,1292,C0_anchor,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Values referenced in UNNEST must be arrays.
bq269,ga360,unrecognized_column,True,False,False,False,2,7,False,True,False,1,16249.95,262,0,1,1,bigquery-public-data.google_analytics_sample,937,C0_anchor,BadRequest,"400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Unrecognized name: pageviews at [11:9]

Loc"
bq268,ga360,function_signature,True,False,False,False,3,4,False,True,False,1,11301.93,181,0,1,1,bigquery-public-data.google_analytics_sample,687,C0_anchor,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: No matching signature for function DATE_DIF
